Alt,Direction,Endpoint,INPacketCountArgument,NominalBytesPerInterval,TotalLength,Category,FailedAt,DeviceSpeed,Win32Error,UsbdStatus,BytesTransferred,Result
6,OUT,0x03,N/A,63,1008,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,496,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,1024,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,OUT,0x03,N/A,63,1260,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,620,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,1280,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,OUT,0x03,N/A,63,2016,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,992,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,2048,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,OUT,0x03,N/A,63,4032,exact,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,31,1984,sub,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,64,4096,oversize,NONE,HIGH,0,NOT_REPORTED,NOT_REPORTED,ACCEPTED
6,OUT,0x03,N/A,0,0,zero,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,1,63,63,exact,NONE,HIGH,0,0x00000000,63,ACCEPTED
6,IN,0x83,1,31,31,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
